price,status,area,rate_per_sqft,property_type,locality,builder_name,rera_approval,bhk_count,society,company_name,flat_type,price_crore
10700000,under construction,1138,9450,2 bhk apartment in m3m antalya hills phase i,sector 79,home,TRUE,2,m3m antalya hills phase i,m3m,apartment,0.0107
14400000,under construction,1528,9450,3 bhk apartment in m3m antalya hills phase i,sector 79,property in gurgaon,TRUE,3,m3m antalya hills phase i,m3m,apartment,0.0144
10700000,under construction,1138,9450,2 bhk apartment in m3m antalya hills phase i,sector 79,properties for sale in gurgaon,TRUE,2,m3m antalya hills phase i,m3m,apartment,0.0107
40000000,ready to move,4500,8888,4 bhk independent floor,sector 57,mm india pvt ltd,FALSE,4,outside socity,outside,plot,0.04
24000000,under construction,1800,13333,3 bhk independent floor in anant raj estate plots,sector 63,mm india pvt ltd,TRUE,3,anant raj estate plots,anant,floor,0.024
63800000,ready to move,2282,28000,3 bhk apartment in dlf park place,sector 54,mm india pvt ltd,FALSE,3,dlf park place,dlf,apartment,0.0638
4500000,ready to move,920,4891,3 bhk apartment,sector 3a,seller,FALSE,3,outside socity,outside,plot,0.0045
4500000,ready to move,1000,4500,2 bhk apartment,sector 69,seller,FALSE,2,outside socity,outside,plot,0.0045
9000000,ready to move,1250,7200,3 bhk independent floor in bptp astaire garden plots,sector 70a,seller,FALSE,3,bptp astaire garden plots,bptp,floor,0.009
74900000,under construction,3800,19736,4 bhk apartment in dlf the arbour,sector 63,seller,TRUE,4,dlf the arbour,dlf,apartment,0.0749
19700000,under construction,2390,8250,4 bhk apartment in navraj the antalya,sector 37d,seller,TRUE,4,navraj the antalya,navraj,apartment,0.0197
80100000,under construction,3956,20253,4 bhk apartment in dlf the arbour,sector 63,seller,TRUE,4,dlf the arbour,dlf,apartment,0.0801
13700000,under construction,1450,9448,3 bhk apartment in ss cendana residence,sector 83,superb solution providers pvt ltd,TRUE,3,ss cendana residence,ss,apartment,0.0137
22000000,ready to move,2450,8979,4 bhk independent floor,sector 51,sharma realtors solution,FALSE,4,outside socity,outside,plot,0.022
15000000,under construction,1205,12448,3 bhk apartment in signature global city 81 phase 2,sector 81,sm realty,TRUE,3,signature global city 81 phase 2,signature,apartment,0.015
44000000,under construction,1677,26237,3 bhk apartment in adani brahma samsara vilasa,sector 63,impex estates india private limited,TRUE,3,adani brahma samsara vilasa,adani,apartment,0.044
12000000,ready to move,1430,8391,3 bhk apartment in mapsko casa bella,sector 82,bricksblenders,FALSE,3,mapsko casa bella,mapsko,apartment,0.012
52500000,ready to move,2905,18072,4 bhk apartment in tata primanti,sector 72,corvous india infratech pvt ltd,FALSE,4,tata primanti,tata,apartment,0.0525
4600000,ready to move,720,6388,1 bhk apartment in ameya sapphire eighty three,sector 83,ayuni direct realty,FALSE,1,ameya sapphire eighty three,ameya,apartment,0.0046
30000000,ready to move,2082,14409,3 bhk apartment in omaxe the nile,sector 49,sagar,FALSE,3,omaxe the nile,omaxe,apartment,0.03
9900000,ready to move,1366,7247,2 bhk apartment in m3m woodshire,sector 107,home,FALSE,2,m3m woodshire,m3m,apartment,0.0099
45300000,ready to move,3969,11413,4 bhk independent floor in unitown trehan luxury floor 63,sector 63,property in gurgaon,FALSE,4,unitown trehan luxury floor 63,unitown,floor,0.0453
120000000,ready to move,3500,34285,4 bhk apartment in dlf the belaire,sector 54,properties for sale in gurgaon,FALSE,4,dlf the belaire,dlf,apartment,0.12
35500000,ready to move,2450,14489,3 bhk apartment in puri emerald bay,sector 104,bhoomi realtors,FALSE,3,puri emerald bay,puri,apartment,0.0355
10500000,ready to move,1000,10500,2 bhk independent floor in signature global city 92,sector 92,keshri real tech,FALSE,2,signature global city 92,signature,floor,0.0105
19000000,ready to move,2365,8033,4 bhk apartment in pareena express heights,sector 99a,angel bricks,FALSE,4,pareena express heights,pareena,apartment,0.019
37000000,ready to move,1975,18734,4 bhk apartment in emaar emerald floors premier,sector 65,gk realtors,FALSE,4,emaar emerald floors premier,emaar,apartment,0.037
55000000,under construction,1469,37465,4 bhk apartment in godrej aristocrat,sector 49,yoga reality,TRUE,4,godrej aristocrat,godrej,apartment,0.055
55000000,under construction,1469,37465,4 bhk apartment in godrej aristocrat,sector 49,gupta realtors,TRUE,4,godrej aristocrat,godrej,apartment,0.055
20000000,ready to move,2000,10000,3 bhk independent floor,sector 46,homes solution,FALSE,3,outside socity,outside,plot,0.02
28000000,under construction,1902,14750,3 bhk apartment in m3m golf hills phase 1,sector 79,ethos pro realtors,TRUE,3,m3m golf hills phase 1,m3m,apartment,0.028
