area,bhk_count,rera_approval,status,flat_type,Actual Price,Predicted Price,Residual
1531,4,1,under construction,apartment,15300000,22134992.43,-6834992.433
1785,3,0,ready to move,apartment,12200000,15320836.73,-3120836.732
1920,3,0,ready to move,apartment,11500000,13428794.65,-1928794.645
2150,3,1,under construction,apartment,14200000,42787832.5,-28587832.5
2404,3,0,ready to move,apartment,25900000,31369293.84,-5469293.837
2180,4,1,under construction,apartment,15700000,15741796.03,-41796.03175
1500,2,0,ready to move,apartment,11700000,8701413.065,2998586.935
2000,3,0,ready to move,apartment,22000000,22404956.4,-404956.4023
2206,3,1,under construction,apartment,37800000,35155590.35,2644409.654
2090,3,1,under construction,apartment,29200000,30707235.73,-1507235.73
1494,2,0,ready to move,apartment,13100000,14136179.6,-1036179.603
1432,3,1,under construction,apartment,27800000,23362244.33,4437755.667
1435,2,0,ready to move,apartment,22900000,17140982.5,5759017.496
1080,0,1,new,plot,9839000,11018275.44,-1179275.444
1368,2,1,under construction,apartment,9912000,9273972.33,638027.67
7452,5,1,under construction,apartment,138300000,136527342.3,1772657.692
4243,4,0,ready to move,apartment,72100000,59309075,12790925
571,2,1,under construction,apartment,2316000,2327224.881,-11224.88095
4500,4,0,ready to move,floor,28000000,46225652.44,-18225652.44
1347,3,1,under construction,apartment,22200000,22200000,0
7673,4,0,ready to move,apartment,168800000,220441666.7,-51641666.67
2000,3,0,ready to move,plot,26000000,13418230.09,12581769.91
3000,3,1,under construction,apartment,55500000,47683857.14,7816142.857
2422,3,0,ready to move,apartment,21600000,29433832.94,-7833832.937
1700,3,0,ready to move,plot,19500000,16400613.76,3099386.239
2090,4,0,ready to move,apartment,26100000,14410000,11690000
3230,4,1,under construction,apartment,72600000,72465571.43,134428.5714
1597,4,0,ready to move,apartment,13500000,23139000,-9639000
2325,4,0,ready to move,apartment,13600000,15948900,-2348900
3532,4,0,ready to move,apartment,134100000,133729000,371000
4500,0,0,new,plot,64700000,44581150.45,20118849.55
1377,2,1,under construction,apartment,18300000,16125572.38,2174427.619
2015,3,1,under construction,apartment,23500000,36472130.47,-12972130.47
1490,3,0,ready to move,apartment,14200000,10934801.33,3265198.667
945,0,0,new,plot,7874000,7280494.762,593505.2381
1197,2,1,under construction,apartment,7659000,7659130,-130
1700,3,0,ready to move,apartment,22400000,23652373,-1252372.997
4000,4,0,ready to move,apartment,62000000,76460848.45,-14460848.45
2567,3,1,under construction,apartment,27200000,30779616.67,-3579616.667
2004,3,0,ready to move,apartment,44300000,36138787.66,8161212.338
1960,3,0,ready to move,apartment,17100000,20020771.25,-2920771.248
3104,4,0,ready to move,apartment,88500000,56421037.18,32078962.82
1264,2,1,under construction,apartment,8088000,7883524.98,204475.0202
1044,2,0,ready to move,apartment,21000000,17174230.36,3825769.64
3469,3,0,ready to move,apartment,62000000,57855978.07,4144021.934
5521,5,0,ready to move,floor,146100000,123511000,22589000
3150,4,0,ready to move,apartment,39900000,44803758.91,-4903758.91
1865,3,0,ready to move,apartment,18000000,14991263.1,3008736.905
2700,3,1,under construction,apartment,72500000,50188985.23,22311014.77
3800,3,0,ready to move,apartment,19500000,54120037.5,-34620037.5
1550,2,0,ready to move,apartment,19500000,14165815.83,5334184.172
900,0,0,new,plot,4400000,2485890.348,1914109.652
1900,3,0,ready to move,apartment,17100000,21929715.81,-4829715.811
3240,3,0,ready to move,plot,8500000,37801259.02,-29301259.02
1665,3,1,under construction,apartment,35400000,90715991.45,-55315991.45
3505,4,1,under construction,apartment,67400000,67258507.51,141492.4919
2250,3,1,under construction,apartment,45000000,36914399.1,8085600.904
3577,4,1,under construction,apartment,64300000,64300000,0
1080,0,1,resale,plot,8500000,9320156.667,-820156.6667
3250,4,0,ready to move,apartment,61500000,44685814.49,16814185.51
1593,3,1,under construction,apartment,19000000,19652693.83,-652693.8312
1075,2,1,under construction,apartment,8899000,11083369.58,-2184369.579
1983,3,0,ready to move,apartment,49500000,35825138.97,13674861.03
1430,3,0,ready to move,apartment,30000000,13622041.67,16377958.33
1400,2,0,ready to move,apartment,6500000,20094888.96,-13594888.96
4530,5,0,ready to move,apartment,129200000,109678285.7,19521714.29
981,2,1,under construction,apartment,12700000,9971850.279,2728149.721
1642,3,1,under construction,apartment,14900000,19309841.53,-4409841.532
2217,3,1,under construction,apartment,28500000,25195000,3305000
3039,4,1,under construction,apartment,57700000,57518678.35,181321.6499
1535,3,1,under construction,apartment,21400000,16699356.75,4700643.254
2450,3,0,ready to move,apartment,39000000,37054169.84,1945830.165
3045,4,0,ready to move,apartment,24500000,28620849.68,-4120849.675
3610,4,1,under construction,apartment,52500000,52671833.33,-171833.3333
968,3,1,under construction,apartment,33600000,33600000,0
3240,1,0,resale,plot,43200000,58408893.61,-15208893.61
3090,3,0,ready to move,apartment,57100000,57136865.87,-36865.87302
2000,3,0,ready to move,plot,14500000,13418230.09,1081769.909
2250,3,0,ready to move,apartment,25000000,23400755.84,1599244.162
4785,4,0,ready to move,apartment,105200000,86008380.95,19191619.05
646,3,1,under construction,apartment,2638000,2602174.54,35825.45982
2382,3,0,ready to move,apartment,38100000,30595698.97,7504301.032
1669,2,1,under construction,apartment,22000000,19247000,2753000
2300,4,0,ready to move,apartment,35000000,29518718.89,5481281.111
900,2,0,under construction,plot,4800000,4328654.632,471345.368
2700,4,0,ready to move,plot,22500000,29281084.39,-6781084.394
3415,4,1,under construction,apartment,76800000,76800000,0
2595,3,0,ready to move,apartment,25400000,51387915.95,-25987915.95
3695,4,1,under construction,apartment,60900000,67775328.72,-6875328.723
1750,2,1,under construction,apartment,35000000,33141383.94,1858616.065
2700,3,1,under construction,apartment,54000000,50188985.23,3811014.768
2407,4,0,ready to move,apartment,31000000,33261104.76,-2261104.762
2355,3,1,under construction,apartment,32900000,32900000,0
8100,5,0,ready to move,apartment,90000000,81658202.27,8341797.727
1800,4,0,ready to move,apartment,9500000,19325300.67,-9825300.673
2125,3,1,under construction,apartment,11000000,28935839.79,-17935839.79
1800,3,0,ready to move,apartment,24500000,19724577.88,4775422.12
1806,3,1,under construction,apartment,36600000,34985139.95,1614860.047
1850,3,0,ready to move,plot,18000000,18431948.73,-431948.7323
2092,3,0,ready to move,apartment,18100000,27701565.11,-9601565.113
1248,2,1,under construction,apartment,7985000,7985000,0
1243,2,0,ready to move,apartment,9944000,10034530,-90530
2298,4,1,under construction,apartment,505500000,234912964.5,270587035.5
2090,3,1,under construction,apartment,30800000,30707235.73,92764.27011
1850,3,1,under construction,apartment,24900000,23468148.52,1431851.482
1900,3,0,ready to move,floor,15000000,18098439.21,-3098439.214
2279,3,0,ready to move,apartment,26200000,41159473.81,-14959473.81
2950,4,0,ready to move,apartment,47700000,38182139.54,9517860.457
1000,3,0,ready to move,plot,3800000,4392898.974,-592898.9738
900,3,0,ready to move,apartment,6000000,5766424.892,233575.1082
1955,3,1,under construction,apartment,33800000,36196728.04,-2396728.041
3355,4,0,ready to move,apartment,63500000,57388666.67,6111333.333
5100,5,0,ready to move,apartment,85000000,51071500,33928500
4518,4,0,ready to move,floor,37500000,51677722.59,-14177722.59
1235,3,1,under construction,apartment,11700000,13455368.18,-1755368.179
1145,2,0,ready to move,apartment,7200000,11659170,-4459170
1528,3,1,under construction,apartment,18300000,17856604.53,443395.4737
746,2,1,under construction,apartment,3760000,4983424.889,-1223424.889
2486,4,1,under construction,apartment,49700000,24553133.33,25146866.67
607,2,1,under construction,apartment,2473000,2467474.286,5525.714286
2549,3,1,under construction,apartment,54200000,44197264.29,10002735.71
1890,3,0,ready to move,apartment,16800000,17161594.59,-361594.5887
2191,4,0,ready to move,apartment,31000000,26621648.55,4378351.454
3844,3,0,ready to move,apartment,84500000,67179922.62,17320077.38
5852,4,0,ready to move,house,101000000,94172833.33,6827166.667
1200,2,0,ready to move,apartment,9000000,7756847.657,1243152.343
1620,1,0,resale,plot,24000000,31310047.62,-7310047.619
1800,3,0,ready to move,apartment,15000000,19724577.88,-4724577.88
1222,2,0,ready to move,apartment,7800000,9327405.333,-1527405.333
1711,3,1,under construction,apartment,21000000,19925678.5,1074321.503
2567,3,1,under construction,apartment,27200000,30779616.67,-3579616.667
750,2,0,ready to move,apartment,2200000,6435751.19,-4235751.19
2054,3,1,under construction,apartment,34900000,34912798.38,-12798.37662
1450,3,0,ready to move,apartment,15500000,13120317.81,2379682.186
1099,3,1,under construction,apartment,29100000,18723213.35,10376786.65
1730,3,1,under construction,apartment,14000000,13962000,38000
2800,4,0,ready to move,floor,21000000,28274852.6,-7274852.601
3313,3,0,ready to move,apartment,119200000,94021151.08,25178848.92
3240,1,0,resale,plot,45000000,58408893.61,-13408893.61
3395,4,0,ready to move,apartment,56000000,75011890.04,-19011890.04
6768,5,0,ready to move,villa,77500000,100104772.2,-22604772.22
3160,4,0,ready to move,apartment,100000000,45908476.19,54091523.81
6096,5,1,under construction,apartment,113100000,109854382,3245617.962
825,2,0,ready to move,apartment,4800000,7615776.667,-2815776.667
2162,4,1,under construction,apartment,15300000,16021773.59,-721773.5931
3400,4,0,ready to move,floor,45000000,39099000,5901000
2945,3,1,under construction,apartment,56500000,56524736.07,-24736.07124
2799,4,1,under construction,floor,34000000,36669050.69,-2669050.693
1120,3,1,under construction,apartment,6500000,11261379.1,-4761379.095
2150,3,1,under construction,apartment,49400000,42787832.5,6612167.501
1640,2,0,ready to move,apartment,19800000,17007501.19,2792498.81
2060,4,1,under construction,apartment,453200000,266217398.8,186982601.2
1328,3,1,under construction,apartment,12500000,14279209.15,-1779209.146
1450,3,1,under construction,apartment,14700000,16306749.93,-1606749.933
2700,4,0,ready to move,plot,25000000,29281084.39,-4281084.394
2435,4,1,under construction,apartment,32500000,35412000,-2912000
450,0,0,new,plot,1020000,944618.7884,75381.21158
900,0,0,resale,plot,16000000,8077157.439,7922842.561
1611,3,1,under construction,floor,19600000,21043853.1,-1443853.096
1435,2,0,ready to move,apartment,22900000,17140982.5,5759017.496
2800,3,0,ready to move,floor,14700000,13338258.96,1361741.041
2060,4,0,ready to move,apartment,29800000,62304122.54,-32504122.54
3150,0,0,new,plot,45300000,39418285.79,5881714.214
2549,3,1,under construction,apartment,35000000,44197264.29,-9197264.286
6147,5,0,ready to move,apartment,233400000,223483466.7,9916533.333
1440,3,0,ready to move,apartment,18700000,17258910.68,1441089.322
1964,2,1,under construction,apartment,39200000,39200000,0
1352,3,1,under construction,apartment,22300000,22418000,-118000
376,1,1,under construction,apartment,1504000,1354830,149170
1530,3,1,under construction,apartment,19800000,15870496.27,3929503.726
810,2,0,ready to move,house,3500000,13000005.3,-9500005.303
1976,3,1,under construction,apartment,39500000,33311934.44,6188065.562
2103,3,0,ready to move,apartment,25000000,24027084.59,972915.4108
2343,3,1,under construction,apartment,23300000,25692939.95,-2392939.949
1968,4,1,under construction,apartment,13000000,25952000,-12952000
1463,2,0,ready to move,apartment,20000000,24257690.55,-4257690.546
745,3,0,ready to move,apartment,5000000,6000673.254,-1000673.254
1158,2,0,ready to move,apartment,8000000,11356076.67,-3356076.667
2320,3,0,ready to move,apartment,25500000,58733000,-33233000
3600,4,0,ready to move,plot,22000000,33595565.73,-11595565.73
356,1,1,under construction,apartment,1453000,1449556.513,3443.487374
2434,4,1,under construction,apartment,41800000,37447000,4353000
1138,2,1,under construction,apartment,13700000,13463262.95,236737.0492
1650,4,0,ready to move,floor,18500000,19186250,-686250
2095,3,0,ready to move,apartment,46000000,36886506.34,9113493.661
2450,3,0,ready to move,apartment,30600000,37054169.84,-6454169.835
