epoch,training_loss,validation_loss,training_mae,validation_mae
1,1.178819299,0.7297949791,0.4354373217,0.3439231813
2,1.253294468,0.6584492326,0.3804270625,0.333565563
3,0.7335262895,0.6444395781,0.3598133326,0.3673640788
4,0.7224677801,0.6098833084,0.3546976745,0.3097572625
5,0.7119930387,0.5964691639,0.3510420918,0.3180165887
6,0.7057726383,0.5888261795,0.3474999368,0.3157721162
7,0.6914350986,0.5878627896,0.3357273042,0.3283071816
8,0.6490582824,0.5807806849,0.3361626565,0.3432388902
9,0.646849215,0.5883497596,0.3363727033,0.3163309991
10,0.6215255857,0.5678597093,0.3281504512,0.3182070255
11,0.6004826427,0.5688058734,0.3275409341,0.3506871462
12,0.6960157156,0.6016808748,0.3278928995,0.324452728
13,0.6040621996,0.5846703649,0.3240203261,0.3363190293
14,0.589329958,0.5694970489,0.3231228292,0.3326505721
15,0.577447176,0.5719217658,0.3219699562,0.3173872232
16,0.6100703478,0.6133883595,0.3188639283,0.3233750761
17,0.5725193024,0.5890937448,0.3180083334,0.3380899131
18,0.5732109547,0.5746398568,0.3158129454,0.3123444021
19,0.5753254294,0.5601155162,0.3143503368,0.311734736
20,0.5778394341,0.5973272324,0.3156428933,0.3474897444
21,0.5540698767,0.5881480575,0.3123017848,0.3406777978
22,0.60936445,0.5808213353,0.3156542182,0.3301134408
23,0.5489768982,0.5849117637,0.3097984791,0.3377444744
24,0.5663067102,0.5998698473,0.3089764416,0.333589524
25,0.5888208151,0.5941368341,0.3120557368,0.3499023616
26,0.5599235892,0.5813319087,0.3076100945,0.3453825712
27,0.5757858753,0.5543473959,0.3104440272,0.3189654648
28,0.5587220788,0.5730239153,0.3067437708,0.3125880361
29,0.5543598533,0.5875185728,0.3076656759,0.3175331354
30,0.6712138653,0.6022100449,0.3105531335,0.3297642469
31,0.555424273,0.5786132813,0.3011728823,0.345282793
32,0.5570366383,0.5825259089,0.305149287,0.3183605373
33,0.5704959035,0.5781279206,0.3037853837,0.3445718586
34,0.552100718,0.5586827397,0.3057489693,0.3237932026
35,0.5768386126,0.5690332055,0.3062824607,0.3433676362
36,0.5634239316,0.5747944117,0.303529501,0.3485949934
37,0.5445590019,0.5614103675,0.303894788,0.3233236969
